dataset,matcher,precision,recall,f1-measure
cmt-conference,core_platform,0.5714285714285714,0.26666666666666666,0.36363636363636365
cmt-conference,majority_vote,0.6,0.2,0.3
cmt-conference,ngramDistance,0.4444444444444444,0.26666666666666666,0.33333333333333337
cmt-conference,level2_monge_elkandeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.013349514563106795,0.7333333333333333,0.026221692491060784
cmt-conference,wuPalmer,0.3,0.4,0.34285714285714286
cmt-conference,wuPalmerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-conference,path,0.625,0.3333333333333333,0.43478260869565216
cmt-conference,lin,0.5555555555555556,0.3333333333333333,0.4166666666666667
cmt-conference,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.08661417322834646,0.7333333333333333,0.15492957746478875
cmt-conference,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.09090909090909091,0.4,0.14814814814814814
cmt-conference,jaroWinklerMeasure,0.09090909090909091,0.4,0.14814814814814814
cmt-conference,word2Vec,0.5714285714285714,0.26666666666666666,0.36363636363636365
cmt-conference,level2_jara_winkler,0.08661417322834646,0.7333333333333333,0.15492957746478875
cmt-conference,prefix,0.1724137931034483,0.3333333333333333,0.22727272727272724
cmt-conference,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-conference,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.4444444444444444,0.26666666666666666,0.33333333333333337
cmt-conference,equalDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.6,0.2,0.3
cmt-conference,word2VecStemmed,0.6,0.2,0.3
cmt-conference,jaccard,0.6666666666666666,0.26666666666666666,0.3809523809523809
cmt-conference,level2_monge_elkan,0.013349514563106795,0.7333333333333333,0.026221692491060784
cmt-conference,suffix,0.2903225806451613,0.6,0.3913043478260869
cmt-conference,esaSim,0.4444444444444444,0.26666666666666666,0.33333333333333337
cmt-conference,level2_jaro,0.09322033898305085,0.7333333333333333,0.16541353383458648
cmt-conference,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.3,0.4,0.34285714285714286
cmt-conference,smoaDistance,0.18461538461538463,0.8,0.3
cmt-conference,level2_monge_elkandeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-conference,jiangConrath,0.5714285714285714,0.26666666666666666,0.36363636363636365
cmt-conference,needlemanWunsch2Distance,0.6666666666666666,0.26666666666666666,0.3809523809523809
cmt-conference,umbcSim,0.4444444444444444,0.26666666666666666,0.33333333333333337
cmt-conference,soft_tfidf_jaro,0.3333333333333333,0.4666666666666667,0.3888888888888889
cmt-conference,mongeElkan,0.14473684210526316,0.7333333333333333,0.24175824175824176
cmt-conference,simple_tfidf,0.5454545454545454,0.4,0.4615384615384615
cmt-conference,jaro_winkler_tfidf,0.3333333333333333,0.4666666666666667,0.3888888888888889
cmt-conference,levenshteinDistance,0.5714285714285714,0.26666666666666666,0.36363636363636365
cmt-conference,hammingDistance,0.6,0.2,0.3
cmt-conference,equalDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-conference,equalDistance,0.6,0.2,0.3
cmt-conference,subStringDistance,0.25,0.2,0.22222222222222224
cmt-conference,ngramDistancedeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-conference,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-conference,jaroMeasure,0.17142857142857143,0.4,0.24000000000000002
cmt-conference,best_base_matcher,0.5454545454545454,0.4,0.4615384615384615
cmt-confOf,core_platform,0.75,0.375,0.5
cmt-confOf,majority_vote,0.6666666666666666,0.25,0.36363636363636365
cmt-confOf,ngramDistance,0.5714285714285714,0.25,0.34782608695652173
cmt-confOf,wuPalmer,0.13636363636363635,0.375,0.19999999999999998
cmt-confOf,wuPalmerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-confOf,path,0.6666666666666666,0.375,0.4800000000000001
cmt-confOf,lin,0.5454545454545454,0.375,0.4444444444444444
cmt-confOf,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.24,0.375,0.2926829268292683
cmt-confOf,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.16666666666666666,0.375,0.23076923076923078
cmt-confOf,jaroWinklerMeasure,0.16666666666666666,0.375,0.23076923076923078
cmt-confOf,word2Vec,0.6666666666666666,0.375,0.4800000000000001
cmt-confOf,level2_jara_winkler,0.24,0.375,0.2926829268292683
cmt-confOf,prefix,0.35294117647058826,0.375,0.3636363636363636
cmt-confOf,level2_jara_winklerdeunimadwsoamatchingmatcherstructurallevelSimilarityFloodingMatcher,0.0,0.0,0.0
cmt-confOf,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.5714285714285714,0.25,0.34782608695652173
cmt-confOf,word2VecStemmed,0.6,0.1875,0.2857142857142857
cmt-confOf,jaccard,0.6666666666666666,0.25,0.36363636363636365
cmt-confOf,level2_monge_elkan,0.2608695652173913,0.375,0.30769230769230765
cmt-confOf,suffix,0.4117647058823529,0.4375,0.42424242424242425
cmt-confOf,esaSim,0.6666666666666666,0.375,0.4800000000000001
cmt-confOf,level2_jaro,0.25,0.375,0.3
cmt-confOf,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,0.13636363636363635,0.375,0.19999999999999998
cmt-confOf,smoaDistance,0.3333333333333333,0.5,0.4
cmt-confOf,jiangConrath,0.625,0.3125,0.4166666666666667
cmt-confOf,needlemanWunsch2Distance,0.6666666666666666,0.25,0.36363636363636365
cmt-confOf,umbcSim,0.5,0.375,0.42857142857142855
cmt-confOf,soft_tfidf_jaro,0.5,0.375,0.42857142857142855
cmt-confOf,mongeElkan,0.23684210526315788,0.5625,0.3333333333333333
cmt-confOf,simple_tfidf,0.7142857142857143,0.3125,0.43478260869565216
cmt-confOf,jaro_winkler_tfidf,0.5454545454545454,0.375,0.4444444444444444
cmt-confOf,levenshteinDistance,0.6666666666666666,0.25,0.36363636363636365
cmt-confOf,hammingDistance,0.6666666666666666,0.25,0.36363636363636365
cmt-confOf,equalDistance,0.6666666666666666,0.25,0.36363636363636365
cmt-confOf,subStringDistance,0.5,0.25,0.3333333333333333
