dataset,matcher,precision,recall,f1-measure
ontos/2014/conference,BaseLine 1: jaro_tfidf,0.7090013783291094,0.7090013783291094,0.578856280032903
ontos/2014/conference,BaseLine2,0.7234344615038998,0.7234344615038998,0.6085867502099928
ontos/2014/conference,Average Meta Matcher,0.6244289061222699,0.6244289061222699,0.6009000674898063
ence/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,needlemanWunsch2Distance_matcher,0.5,0.5,0.28571428571428575
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,jiang_conrath_new,0.5,0.5,0.28571428571428575
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,new_lin,0.5714285714285714,0.5714285714285714,0.36363636363636365
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,subStringDistance_matcher,0.5,0.5,0.28571428571428575
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,level2_monge_elkan,0.02981029810298103,0.02981029810298103,0.057291666666666664
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,lin_matcher,0.5,0.5,0.4
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,jaro_tfidf,0.5,0.5,0.3478260869565218
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,suffix_matcher,0.3,0.3,0.4
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,level2_jaro_winkler,0.22727272727272727,0.22727272727272727,0.33898305084745756
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,wu_palmer,0.5,0.5,0.28571428571428575
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,jaroWinklerMeasure_matcher,1.0,1.0,0.0
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,advanced_tfidf,0.0,0.0,0.0
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,mongeElkan_matcher,0.1746031746031746,0.1746031746031746,0.28205128205128205
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,jiangConrath_matcher,0.5555555555555556,0.5555555555555556,0.4166666666666667
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,jaccardStemmed_matcher,0.5,0.5,0.28571428571428575
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,ngramDistance_matcher,0.5,0.5,0.28571428571428575
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,prefix_matcher,0.17857142857142858,0.17857142857142858,0.23255813953488372
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,levenshteinDistance_matcher,0.5,0.5,0.28571428571428575
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,smoaDistance_matcher,0.3076923076923077,0.3076923076923077,0.28571428571428575
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,level2_jaro,0.23255813953488372,0.23255813953488372,0.3448275862068966
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,soft_tfidf_jaro,0.5,0.5,0.3478260869565218
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,hammingDistance_matcher,0.5,0.5,0.28571428571428575
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,jaroMeasure_matcher,0.5,0.5,0.3478260869565218
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/conference.owl,simple_tfidf,0.5,0.5,0.28571428571428575
cmt-conference,metaMatcher,0.6666666666666666,0.6666666666666666,0.6666666666666666
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,equalDistance_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,needlemanWunsch2Distance_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,jiang_conrath_new,0.6666666666666666,0.6666666666666666,0.36363636363636365
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,new_lin,0.6666666666666666,0.6666666666666666,0.36363636363636365
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,subStringDistance_matcher,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,level2_monge_elkan,0.3157894736842105,0.3157894736842105,0.34285714285714286
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,lin_matcher,0.5,0.5,0.3333333333333333
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,jaro_tfidf,0.5714285714285714,0.5714285714285714,0.34782608695652173
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,suffix_matcher,0.3888888888888889,0.3888888888888889,0.411764705882353
/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/cmt.owl/Users/mueller/Documents/master-thesis/oaMatcherCode/ontos/2014/conference/confOf.owl,level2_jaro_winkler,0.42857142857142855,0.42857142857142855,0.39999999999999997
