left,relation,right,equalDistance_matcher,needlemanWunsch2Distance_matcher,subStringDistance_matcher,jaroWinklerMeasure_matcher,ngramDistance_matcher,levenshteinDistance_matcher,smoaDistance_matcher,soft_tfidf_jaro,simple_tfidf,jaroMeasure_matcher,hammingDistance_matcher
http://iasted#Student_lecturer,=,http://sigkdd#Best_Student_Paper_Supporter,,0.32499999999999996,,,,0.4642857142857143,,,,,
http://iasted#Student_lecturer,=,http://sigkdd#Best_Student_Paper_Award,,,0.4,,0.33333333333333326,,,,,,
http://iasted#Presenter_university,=,http://sigkdd#Registration_Student,,,,0.35352941176470587,,,,,,0.5892156862745098,
http://iasted#is_given_to,=,http://sigkdd#presentation,,,,,,,0.3842364532019704,,,,
http://iasted#obtain,=,http://sigkdd#obtain,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://iasted#Form,=,http://sigkdd#Author,,,0.4,,,,,,,,
http://iasted#Speaker,=,http://sigkdd#Speaker,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://iasted#Submissions_deadline,=,http://sigkdd#Deadline,,0.25,0.5714285714285714,,,0.4,,,,,
http://iasted#Card,=,http://sigkdd#Paper,,,,,,,,,,,0.19999999999999996
http://iasted#Hotel_registration_form,=,http://sigkdd#Registration_fee,,0.4666666666666667,0.717948717948718,,0.6857142857142857,0.6086956521739131,0.8287748136171742,,,,
http://iasted#speak_in,=,http://sigkdd#submit,,,,,,,,,,,0.125
http://iasted#write,=,http://sigkdd#Price,,0.6,,0.44000000000000006,,0.6,,,,0.7333333333333334,0.6
http://iasted#Item,=,http://sigkdd#Invited_Speaker,,,,,0.1333333333333333,,0.5950381679389313,,,,
http://iasted#City,=,http://sigkdd#Listener,,,,0.3500000000000001,,,,,,0.5833333333333334,
http://iasted#IASTED_member,=,http://sigkdd#Program_Committee_member,,,,,,,,,0.37847001301394706,,
http://iasted#Session_room,=,http://sigkdd#Registration_Non-Member,,,,,,0.34782608695652173,,,,,
http://iasted#Activity_after_conference,=,http://sigkdd#Author_of_paper_student,,,,0.3188792270531402,,,,,,0.5314653784219002,
http://iasted#Final_manuscript,=,http://sigkdd#Organizing_Committee,,0.20833333333333337,,,,,,,,,0.15000000000000002
http://iasted#Introduction_of_speaker,=,http://sigkdd#Speaker,,,0.4666666666666667,,0.3846153846153846,,0.75,0.5444794968344939,,,
http://iasted#Nonmember_registration_fee,=,http://sigkdd#Registration_SIGMOD_Member,,,,0.35484949832775925,,,,,,0.5914158305462653,
http://iasted#Worker_non_speaker,=,http://sigkdd#Registration_SIGKDD_Member,,,,0.3775335775335775,,,,,,0.6292226292226292,
http://iasted#is_needed_for,=,http://sigkdd#searched_by,,0.2666666666666667,,,,,,,,,
http://iasted#Simulating,=,http://sigkdd#Deadline,,0.25,,,,,,,,,
http://iasted#Simulating,=,http://sigkdd#Platinum_Supporter,,,0.3571428571428572,,0.25,,0.4976851851851851,,,,
http://iasted#Overhead_projector,=,http://sigkdd#Bronze_Supporter,,0.25,,,,,,,,,
http://iasted#Non_speaker,=,http://sigkdd#Invited_Speaker,,0.4736842105263158,,0.4951515151515151,,,,,,0.8252525252525252,
http://iasted#Trip_city,=,http://sigkdd#Main_office,,0.23076923076923073,,,,,,,,,0.18181818181818177
http://iasted#Departure_tax,=,http://sigkdd#Conference_hall,,0.23529411764705888,,,,,,,,,
http://iasted#Welcome_address,=,http://sigkdd#Committee,,,0.25,,0.09999999999999998,,,,,,
http://iasted#Student_registration_fee,=,http://sigkdd#Registration_Student,,,,0.38357142857142856,0.8,,0.9634146341463414,0.8483360573320576,0.4498872859375291,0.6392857142857142,
http://iasted#Main_office,=,http://sigkdd#Main_office,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0,1.0
http://iasted#is_paid_with,=,http://sigkdd#awarded_by,,,,,,,,,,,0.16666666666666663
http://iasted#Tax,=,http://sigkdd#Abstract,,0.15384615384615385,,,,0.25,,,,,
http://iasted#Receiving_manuscript,=,http://sigkdd#Best_Paper_Awards_Committee,,0.20588235294117652,,,,0.2592592592592593,,,,,
http://iasted#Presenter_university,=,http://sigkdd#Person,,,0.23076923076923084,,,,,,,,
http://iasted#Plenary_lecture,=,http://sigkdd#General_Chair,,0.2941176470588235,,,,,,,,,
http://iasted#Refusing_manuscript,=,http://sigkdd#Registration_Student,,0.2857142857142857,,0.368796992481203,,0.30000000000000004,,,,0.6146616541353384,0.25
http://iasted#PowerPoint_presentation,=,http://sigkdd#Deadline_Author_notification,,,,,,0.3214285714285714,,,,,
http://iasted#Audiovisual_equipment,=,http://sigkdd#Document,,,0.27586206896551724,,0.16000000000000003,0.33333333333333337,0.43452380952380953,,,,
http://iasted#Technical_commitee,=,http://sigkdd#Organizing_Committee,,0.5,,,,0.55,,,,,
http://iasted#Tutorial_speaker,=,http://sigkdd#Speaker,,,0.6086956521739131,,0.5263157894736842,,0.8181818181818181,0.6120475016651691,,,
http://iasted#is_designed_for,=,http://sigkdd#holded_by,,,,,,,,,,,0.1333333333333333
http://iasted#Student_non_speaker,=,http://sigkdd#Invited_Speaker,,0.3913043478260869,,,,0.4736842105263158,,,,,
http://iasted#Memeber_registration_fee,=,http://sigkdd#General_Chair,,,,,,,,,,,0.16666666666666663
http://iasted#Sponsor_city,=,http://sigkdd#Sponzor_fee,,0.5384615384615384,,,0.3157894736842105,0.5833333333333333,,,,,0.5833333333333333
http://iasted#is_paid_in,=,http://sigkdd#awarded_by,,,,,,,,,,,0.19999999999999996
http://iasted#Submissions_deadline,=,http://sigkdd#Webmaster,,,,,,,,,,,0.15000000000000002
http://iasted#Author_attendee_cd_registration_fee,=,http://sigkdd#Author_of_paper_student,,,,,,,,,,,0.2857142857142857
http://iasted#Session,=,http://sigkdd#Person,,0.5,,,,0.5714285714285714,,,,,0.2857142857142857
http://iasted#Nonauthor_registration_fee,=,http://sigkdd#Registration_SIGMOD_Member,,,,0.3471571906354515,,,,,,0.5785953177257525,
http://iasted#Record_of_attendance,=,http://sigkdd#Author_of_paper_student,,,,0.41163043478260875,,,,,,0.6860507246376812,
http://iasted#Book_proceeding,=,http://sigkdd#Sponzor_fee,,,,,,,,,,,0.2666666666666667
http://iasted#Receiving_manuscript,=,http://sigkdd#Organizing_Committee,,,0.19999999999999996,,0.11111111111111116,,0.22080523076016856,,,,
http://iasted#Presenter_university,=,http://sigkdd#Listener,,,,,,0.30000000000000004,,,,,
http://iasted#Invitation_letter,=,http://sigkdd#Invited_Speaker,,0.42105263157894735,,0.357843137254902,,,0.5686915887850468,,,0.5964052287581699,0.2941176470588235
http://iasted#Video_cassette_player,=,http://sigkdd#Program_Committee_member,,0.2962962962962963,,,,,,,,,
http://iasted#Sponsor_state,=,http://sigkdd#Sponzor,,,0.4,0.46373626373626364,,,0.6716766142159523,0.6440944486372591,,0.7728937728937728,
http://iasted#Payment_document,=,http://sigkdd#Document,,0.33333333333333337,0.6666666666666666,,0.8,0.5,0.8478260869565217,0.7071067811865475,,,
http://iasted#is_writen_by,=,http://sigkdd#payed_by,,,0.30000000000000004,,0.125,,,,,,
http://iasted#One_day_presenter,=,http://sigkdd#Conference,,,,0.3905882352941177,,,,,,0.6509803921568628,
http://iasted#is_designed_for,=,http://sigkdd#design,,,,,,,0.8157894736842105,0.716149328322233,,,
http://iasted#Van,=,http://sigkdd#Organizator,,,0.2857142857142857,,,,,,,,
http://iasted#Bank_transfer,=,http://sigkdd#Main_office,,,,0.36806526806526807,,,,,,0.6134421134421135,
http://iasted#Nonauthor_registration_fee,=,http://sigkdd#Registration_fee,,0.4444444444444444,0.7619047619047619,,0.7368421052631579,0.6153846153846154,0.8846153846153846,0.6581308184735628,0.30107747032700505,,
http://iasted#Building,=,http://sigkdd#Organizing_Committee,,,,,0.08333333333333337,,0.3415693321353699,,,,
http://iasted#is_paid_for,=,http://sigkdd#searched_by,,,,0.34545454545454546,,,,,,0.5757575757575758,
http://iasted#Coffee_break,=,http://sigkdd#Conference,,0.3571428571428571,,0.3733333333333333,,0.41666666666666663,,,,0.6222222222222222,0.41666666666666663
http://iasted#Transport_vehicle,=,http://sigkdd#Program_Committee,,,,,,,,,,,0.11764705882352944
http://iasted#is_occupied_by,=,http://sigkdd#payed_by,,,0.4545454545454546,,0.33333333333333326,,0.5558871405317417,,,,
http://iasted#Presenter_city,=,http://sigkdd#Document,,,0.2727272727272727,,,,0.3938531587933978,,,,
http://iasted#Author_attendee_book_registration_fee,=,http://sigkdd#Author_of_paper_student,,,,,,,,,,,0.2432432432432432
http://iasted#Student_lecturer,=,http://sigkdd#Silver_Supporter,,,,,,,,,,,0.25
http://iasted#is_used_for,=,http://sigkdd#designed_by,,,,0.35151515151515145,,,,,,0.5858585858585857,
http://iasted#One_day_presenter,=,http://sigkdd#Document,,,0.24,,,,0.372702823845809,,,,
http://iasted#Final_manuscript,=,http://sigkdd#Fee,,,,,,,0.050000000000000044,,,,
http://iasted#Social_program,=,http://sigkdd#Gold_Supporter,,,,,,,,,,,0.2142857142857143
