left,relation,right,owl_type,match_type,wuPalmerdeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,ngramDistance,wuPalmer,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jiangConrath_stemmed,lin_stemmed,path,lin,equalSimilarityStemmed,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,jaroWinklerMeasure,word2Vec,prefix,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,equalDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,jaccard,suffix,ngramDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,path_stemmed,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedPropertyMatcher,smoaDistance,wuPalmerdeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,jiangConrath,umbcSim,equalDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,soft_tfidf_jaro,fuzzydice,fuzzycosine,wuPalmerdeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,simple_tfidf,equalDistancedeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,wuPalmer_stemmed,fuzzyjaccard,levenshteinDistance,hammingDistance,equalDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher,equalDistance,umbcphrasesim,jaroWinklerMeasuredeunimadwsoamatchingmatcherstructurallevelNeighborHoodSimilarityMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelGraphBasedUsedClassMatcher,ngramDistancedeunimadwsoamatchingmatcherstructurallevelPropertiesMatcher
http://cmt#paperAssignmentToolsRunBy,=,http://conference#has_a_track-workshop-tutorial_topic,op,FF,0.23529411764705882,0.0,0.26041666666666663,0.5034343434343435,0.0708948361540349,0.04992762550457675,0.06695804195804196,0.04992762550457675,0.0,0.5034343434343435,0.5034343434343435,0.2485633837841424,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.08779137529137529,0.26041666666666663,0.0,0.48051619433198384,0.05354657539579695,0.08512123860418797,0.0,0.0,0.0,0.0,0.26041666666666663,0.0,0.0,0.3270833333333333,0.0,0.19999999999999996,0.033333333333333326,0.0,0.5034343434343435,0.0,0.18870364129543304,0.5034343434343435,0.0,0.0
http://cmt#Author,=,http://conference#Organizing_committee,c,FF,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.04681303955751044,0.3333333333333333,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.036028160084878975,0.011189715005457401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.05213552340865135,0.0,0.0,0.0
http://cmt#assignedTo,=,http://conference#has_contributions,op,FF,0.18614718614718614,0.0,0.0,0.5004901960784314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08622895205828562,0.125,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2655122655122655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.47463768115942023,0.0,0.0,0.0,0.0,0.5294117647058824
http://cmt#User,=,http://conference#Committee,c,FF,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.15307330686077295,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.06767036816699902,0.03914874792098999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111116,0.0,0.0,0.0,0.0,0.024486521258950233,0.029484190664480454,0.0,0.0
http://cmt#memberOfProgramCommittee,=,http://conference#has_a_track-workshop-tutorial_topic,op,FF,0.3546218487394958,0.0,0.3546218487394958,0.4545454545454546,0.052641609865855254,0.04012206291081605,0.09417989417989418,0.07668866204862616,0.0,0.4545454545454546,0.4545454545454546,0.09168424854124417,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.06084656084656084,0.3546218487394958,0.0,0.3546218487394958,0.07898965044453862,0.025164636472860973,0.0,0.0,0.0,0.0,0.3546218487394958,0.0,0.0,0.22128851540616246,0.0,0.16666666666666663,0.06666666666666665,0.0,0.4545454545454546,0.0,0.12328322976827621,0.4545454545454546,0.0,0.0
http://cmt#Chairman,=,http://conference#Committee_member,c,FF,0.4636363636363636,0.0,0.4636363636363636,0.46874999999999994,0.03877110385199102,0.1139510607033444,0.10084033613445378,0.1139510607033444,0.0,0.46874999999999994,0.46874999999999994,0.5402561350065006,0.125,0.0,0.0,0.0,0.125,1.0,0.07142857142857142,0.4636363636363636,0.050000000000000044,0.4636363636363636,0.06878979779549832,0.29790523648262024,0.0,0.0,0.0,0.0,0.4636363636363636,0.0,1.0,0.36363636363636365,0.0,0.19999999999999996,0.06666666666666665,0.0,0.46874999999999994,0.0,0.36747199296951294,0.46874999999999994,0.0,0.0
http://cmt#Conference,=,http://conference#Submitted_contribution,c,FF,0.17647058823529413,0.07407407407407407,0.17647058823529413,0.36767676767676766,0.026527298953457325,0.0,0.041666666666666664,0.04329590640041771,0.0,0.36767676767676766,0.36767676767676766,0.11605156545552334,0.14285714285714285,0.07407407407407407,0.0,0.0,0.2,0.07407407407407407,0.041666666666666664,0.17647058823529413,0.29154163540885214,0.17647058823529413,0.030407601214914322,0.018411394208669662,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.07692307692307693,0.0,0.1428571428571429,0.0,0.0,0.36767676767676766,0.0,0.07377559691667557,0.36767676767676766,0.07407407407407407,0.07407407407407407
http://cmt#acceptsHardcopySubmissions,=,http://conference#has_a_name,dp,FF,0.6782733606263018,0.0,0.0,0.0,0.027477114408174196,0.0,0.0,0.0,0.0,0.0,0.0,0.2097688937196429,0.125,0.0,0.0,0.0,0.125,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.008279411743084589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.11538461538461542,0.0,0.5,0.7463299663299663,0.0,0.05358343571424484,0.0,0.0,0.5981481481481481
http://cmt#co-writePaper,=,http://conference#is_submitted_at,op,FF,0.3246753246753247,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.1281360801468241,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.07142857142857142,0.0,0.0,0.2407268170426065,0.0,0.10138390213251114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.15384615384615385,0.0,0.0,0.5333333333333333,0.0,0.116912342607975,0.5333333333333333,0.0,0.0
http://cmt#hasBid,=,http://conference#belong_to_a_conference_volume,op,FF,0.4121794871794872,0.0,0.4121794871794872,0.4003831417624521,0.035039768095577,0.0,0.1553030303030303,0.06326228334209581,0.0,0.4003831417624521,0.4003831417624521,0.08834228696525892,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.12037037037037036,0.4121794871794872,0.0,0.4121794871794872,0.06291510637579133,0.0,0.0,0.0,0.0,0.0,0.4121794871794872,0.0,0.0,0.20000000000000004,0.0,0.040000000000000036,0.0,0.0,0.4003831417624521,0.0,0.008833910338580608,0.4003831417624521,0.0,0.0
http://cmt#enableVirtualMeeting,=,http://conference#belongs_to_a_review_reference,op,FF,0.35416666666666663,0.04878048780487809,0.4454248366013072,0.4294871794871795,0.06696605843889311,0.057779364366785047,0.1753968253968254,0.06017092129296864,0.0,0.5712201591511937,0.5712201591511937,0.3959691828920442,0.08,0.04878048780487809,0.0,0.0,0.08,0.04878048780487809,0.2222222222222222,0.4454248366013072,0.1899543378995434,0.3319327731092437,0.0815783729174476,0.0,0.0,0.0,0.0,0.0,0.4454248366013072,0.0,0.0,0.36892230576441104,0.0,0.19999999999999996,0.040000000000000036,0.0,0.5712201591511937,0.0,0.0972299873828888,0.5712201591511937,0.04878048780487809,0.04878048780487809
http://cmt#User,=,http://conference#Poster,c,FF,0.26666666666666666,0.0,0.26666666666666666,0.75,0.053874357161645584,0.0,0.08333333333333333,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,0.26666666666666666,0.0,0.26666666666666666,0.053874357161645584,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.26666666666666666,0.0,0.5,0.0,0.0,0.75,0.0,0.03846513107419014,0.75,0.0,0.0
http://cmt#ExternalReviewer,=,http://conference#Publisher,c,FF,0.22981366459627328,0.0,0.22981366459627328,0.3958333333333333,0.03079113897608539,0.0,0.05625,0.0,0.0,0.3958333333333333,0.3958333333333333,0.33963027404956136,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.1,0.22981366459627328,0.0,0.22981366459627328,0.024347739372394483,0.16019238531589508,0.0,0.0,0.0,0.0,0.22981366459627328,0.0,0.0,0.16666666666666666,0.0,0.25,0.0625,0.0,0.3958333333333333,0.0,0.16239261627197266,0.3958333333333333,0.0,0.0
http://cmt#rejectedBy,=,http://conference#has_an_abstract,op,FF,0.2,0.0,0.0,0.2777777777777778,0.11104313116564384,0.4456721287346387,0.0,0.0,0.0,0.2777777777777778,0.2777777777777778,0.013457433427687382,0.07692307692307693,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.23333333333333334,0.0,0.02654152363538742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.07692307692307687,0.0,0.0,0.7634615384615385,0.0,0.06755173951387405,0.2777777777777778,0.0,0.23529411764705888
http://cmt#memberOfProgramCommittee,=,http://conference#has_contributions,op,FF,0.883578431372549,0.0,0.0,0.42320261437908496,0.0,0.0,0.0,0.0,0.0,0.42320261437908496,0.42320261437908496,0.122440969144217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8489815460597194,0.0,0.04421124358971914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.42320261437908496,0.0,0.10814832150936127,0.42320261437908496,0.0,0.0
