matcher,execution_time,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,Category
levenshteinDistance,1.649,0.734845049,0.511672861,0.589726535,0.726368159,0.478688525,0.577075099,string
needlemanWunsch2Distance,0.463,0.730045351,0.511672861,0.58814566,0.722772277,0.478688525,0.575936884,token
simple_tfidf,7.548,0.733788962,0.508421543,0.587463175,0.72361809,0.472131148,0.571428571,token
jaroWinklerMeasure,2.842,0.726643991,0.505991992,0.583503697,0.72,0.472131148,0.57029703,string
jaro_winkler_tfidf,5.762,0.734175613,0.500429535,0.582056791,0.724489796,0.46557377,0.566866267,token
soft_tfidf_jaro,5.688,0.734175613,0.500429535,0.582056791,0.724489796,0.46557377,0.566866267,token
jaroMeasure,2.922,0.715712396,0.505991992,0.580729061,0.705882353,0.472131148,0.565815324,string
smoaDistance,4.543,0.733259862,0.499635884,0.580362327,0.723076923,0.462295082,0.564,string
hammingDistance,0.431,0.726872971,0.484761379,0.566793874,0.71957672,0.445901639,0.550607287,string
ngramDistance,0.568,0.70084741,0.489523284,0.560854506,0.685,0.449180328,0.542574257,string
subStringDistance,0.582,0.715638967,0.474794796,0.556049049,0.709677419,0.432786885,0.537678208,string
equalDistance,0.318,0.720004047,0.472724403,0.555366949,0.711956522,0.429508197,0.535787321,string
path,175.837,0.654149686,0.461654799,0.529075866,0.638190955,0.416393443,0.503968254,semantic
lin,198.855,0.654149686,0.461654799,0.529075866,0.638190955,0.416393443,0.503968254,semantic
word2Vec,16.907,0.647709939,0.460986462,0.526150638,0.631840796,0.416393443,0.501976285,semantic
wuPalmer,108.949,0.631122519,0.461654799,0.521099023,0.610576923,0.416393443,0.495126706,semantic
jiangConrath,262.447,0.656178213,0.448436734,0.520387074,0.640625,0.403278689,0.494969819,semantic
umbcSim,72.383,0.582740874,0.483794877,0.514500988,0.549180328,0.439344262,0.488160291,semantic
word2VecStemmed,29.778,0.620209156,0.352836345,0.43648819,0.616352201,0.321311475,0.422413793,semantic
suffix,74.14,0.283380572,0.600706242,0.374736364,0.259818731,0.563934426,0.3557394,string
level2_jaro,5.185,0.251862062,0.57649477,0.329648456,0.22310757,0.550819672,0.31758034,token
level2_jara_winkler,3.567,0.250642124,0.57649477,0.328508208,0.222222222,0.550819672,0.316682375,token
prefix,62.41,0.254287464,0.50342925,0.326091974,0.234710744,0.46557377,0.312087912,string
esaSim,208.925,0.19059074,0.678746281,0.290622097,0.173010381,0.655737705,0.273785079,semantic
level2_monge_elkan,9.649,0.191300068,0.59055492,0.270846642,0.146610169,0.567213115,0.232996633,token
mongeElkan,12.562,0.155311522,0.641161656,0.243879273,0.146572104,0.609836066,0.236340534,string
