"left","relation","right","owl_type","pc_1","pc_2","pc_3","pc_4","pc_5","pc_6","pc_7","pc_8","pc_9","pc_10","outlier"
"http://conference#is_given_by","=","http://iasted#is_paid_with","op",-0.5425115423449332,-0.777520498298802,-0.6143528848786357,-0.7783181806945824,0.24757366455888352,-0.6502551429870121,0.6247507802378738,-0.6164138653731828,0.4826690045936013,0.5354037621949375,0.5439149914863153
"http://conference#is_submitted_at","=","http://iasted#is_situated_in","op",-0.46029481273614337,-0.9682276931020463,-0.6957860364417907,-0.06675863698854168,-0.7035844067714492,-0.7317555539788339,0.4338767547102791,-0.4597815945583068,0.23996907304532522,0.7104589587055685,0.42514522687722467
"http://conference#has_a_review_expertise","=","http://iasted#write","op",-0.8663477006624818,-0.7140727550015014,-0.09729302404744289,-0.1795199718246594,0.09222073429599997,-0.6994883444191782,0.49448039006427424,-0.7012683287168859,0.34352888789217073,0.5488014355174002,0.0
"http://conference#invited_by","=","http://iasted#is_visited_by","op",-0.2544988316005724,-0.9256287474677161,-0.796019954791342,0.37784713809559634,0.21332699968757773,-0.8259465090340101,0.08139989901459277,-0.7643168945853704,0.2772506595254811,0.5600499904927332,0.8017056068923047
"http://conference#gives_presentations","=","http://iasted#is_present_in","op",-0.4198632710677751,-0.9655214731075416,-0.5107482629814408,0.2796624436895636,0.5439192298704938,-0.9759779171654559,-0.7443982706021284,1.0,0.6052665762776892,-1.0,2.356760651800545
"http://conference#invites_co-reviewers","=","http://iasted#is_occupied_by","op",-0.8155249378938314,-0.9229162750097943,0.10269736606314606,-0.22313769628378888,-0.3055145573831948,-0.6353343929017414,0.5354811560535613,-0.5808499970419254,0.09405921764225234,0.5534804334670513,0.0
"http://conference#contributes","=","http://iasted#is_sent_after","op",-0.8181247758735726,-0.9235855473788742,0.16349155065964838,-0.20401247413782653,-0.2411810774906844,-0.6385101820194823,0.5483954823315895,-0.6069133588206637,0.07994956576969359,0.5562474561124628,0.0
"http://conference#has_a_review","=","http://iasted#is_present","op",-0.719783847824264,-0.6589651378039533,0.5183643812090666,-0.6361925387307967,-0.11369349916544846,-0.6864335941471021,0.502037286997453,-0.5685110650749334,0.4777541468396702,0.615338750121722,0.3895006202355743
"http://conference#has_a_review_reference_or_expertise","=","http://iasted#give","op",-0.8676365895178894,-0.6378303372896148,0.2731431315899615,-0.006966504867465861,-0.2454554689300943,-0.7889911327723635,0.42376916757636485,-0.7818145972786035,0.03784513449460736,0.48993484714954905,0.037128580154940805
"http://conference#is_submitted_at","=","http://iasted#is_connected_with","op",-0.53143380306038,-0.9336245986744303,-0.6373543400677694,-0.25993784384154495,-0.5171882759981902,-0.7176916186081733,0.5603589480918645,-0.5396664880584067,-0.10533317133685638,0.6516388276579668,0.22211183968856563
"http://conference#has_a_commtitee","=","http://iasted#is_writen_by","op",-0.8068095612328738,-0.891797299946093,-0.1277493819594686,-0.1604336797162924,-0.31928189530345297,-0.6442203659023613,0.3102182818982917,-0.5189004264984289,0.13883485055563027,0.644655685817574,0.0
"http://conference#invited_by","=","http://iasted#is_paid_in","op",-0.732046152604929,-0.8904983521549732,-0.10590056338982401,-0.25806122377838203,-0.06554978871265749,-0.651753652277217,0.4740802214962512,-0.7592835088913917,-0.19451914522626956,0.6487763823477077,0.0
"http://conference#is_a_topis_of_conference_parts","=","http://iasted#is_held_before","op",-0.6889586178374933,-0.9065635899791349,-0.4304756141498083,-0.2904202528879831,-0.39540801353441046,-0.6835022042397547,0.49485451911401634,-0.6499312981812166,-0.058869640492772435,0.43675553358770935,0.0
"http://conference#is_part_of_conference_volumes","=","http://iasted#is_paid_for","op",-0.5599345262831676,-0.9432361253250492,-0.6911951216558619,-0.16379972649177876,-0.7186656256495736,-0.7279719911774385,0.4438950605193548,-0.6122460472003968,0.14042515330202754,0.6803370843212282,0.3393609526525585
"http://conference#was_a_steering_committee_of","=","http://iasted#is_sent_before","op",-0.8149245358836607,-0.8257394234134214,0.2874248797498917,-0.3094081515690682,-0.3494444481760741,-0.7007767444140096,0.4641182027401134,-0.6674842057785965,-0.08467131938609973,0.43854872165600844,0.0
"http://conference#has_a_steering_committee","=","http://iasted#is_sent_by","op",-0.8172805647358707,-0.818037099730955,0.28264094289451935,-0.27560059035670126,-0.31260960168297147,-0.7069557482538003,0.40284141733107526,-0.6879595644472146,-0.07265380544422284,0.4777718117170968,0.0
"http://conference#belong_to_a_conference_volume","=","http://iasted#is_sent_after","op",-0.8221116975951461,-0.8104545474339482,0.3356911471030313,-0.3590808749051514,-0.323653024703908,-0.6700244799240949,0.4317590349016578,-0.6780463907024816,0.23744968891918172,0.4070328969234078,0.020562990253965907
"http://conference#has_a_review_reference_or_expertise","=","http://iasted#prepare","op",-0.7945080164559348,-0.7964110256914914,0.17398287255925404,-0.19043587536357942,-0.13842432258847726,-0.7292800632509684,0.2743048369031593,-0.6575968840519236,-0.19350780421961522,0.6077194336327321,0.0
"http://conference#is_submitted_at","=","http://iasted#is_paid_for","op",-0.5783815534611204,-0.9182934753823667,-0.6653288938080539,-0.4474633440145004,-0.38499407685596854,-0.7239359401615799,0.6100302494454464,-0.6894980161685615,-0.33652637749292025,0.38332605982294377,0.3120882375225075
"http://conference#is_part_of_conference_volumes","=","http://iasted#is_sent_by","op",-0.7014239092911774,-0.8177615339776796,-0.40249024636255426,-0.27103374796704927,-0.6486640917953598,-0.7333296111778362,0.37552328571318605,-0.7710294296397086,0.01073875211403541,0.5898727363365419,0.06632031973069008
"http://conference#invites_co-reviewers","=","http://iasted#is_held_before","op",-0.7831572635298238,-0.8931419409458226,-0.13129257798588856,-0.1317315187487217,-0.26239430719354995,-0.6449567659143468,0.316788348175028,-0.5700406703499276,0.15860482931642395,0.620701782840396,0.0
"http://conference#belong_to_a_conference_volume","=","http://iasted#go_through","op",-0.8212938605440394,-0.7046688083380356,0.444461668857435,-0.378282152380496,-0.516633636478157,-0.7087635677500921,0.5143956032504109,-0.588393052338257,0.1628675451697803,0.4116300606677572,0.16552963832675804
"http://conference#has_an_organizing_committee","=","http://iasted#is_made_from","op",-0.8236495774026482,-0.8925703329387564,0.032261028127088975,-0.26753619092404024,-0.08212560132813229,-0.6340536382417082,0.5366997633430124,-0.6031121447844048,0.013310566651625555,0.38348583196205976,0.0
"http://conference#has_a_submitted_contribution","=","http://iasted#is_given_by","op",-0.8456442880467558,-0.759470175972059,0.07224700448158883,-0.21309990211797347,-0.032137280461958406,-0.7367408914348668,0.6783686517633623,-0.6406870530078066,-0.24538059938483736,0.4909223675515435,0.0
"http://conference#issues","=","http://iasted#is_held_before","op",-0.6930385484659762,-0.9726754481853513,0.14392375346297248,-0.19955133701600636,-0.29094946754387374,-0.6611515420279471,0.6337330650708044,-0.7210411766704106,-0.027333343340450122,0.5294311092777961,0.0
"http://conference#has_tutorials","=","http://iasted#is_prepared_by","op",-0.8321286878138552,-0.890992393076168,0.022217984931921064,-0.25324125979876655,-0.1161449711768121,-0.6518337839499698,0.5718171136489802,-0.6200728619659865,-0.09649267080541102,0.42638470929150163,0.0
"http://conference#is_the_1th_part_of","=","http://iasted#give","op",-0.8675003534387498,-0.7335445088353167,0.005548587102977454,-0.31996127311982614,-0.4577748157683639,-0.6645388874755905,0.28869625916943287,-0.6823554043348465,0.11783446834238243,0.5231544585953887,0.0
"http://conference#has_a_submitted_contribution","=","http://iasted#is_paid_for","op",-0.8342764485510018,-0.8641319706947048,-0.053565656948656004,-0.3347123154602071,-0.014783910501696584,-0.6638562309279757,0.45901595903665293,-0.5734171150113578,-0.23410023586380635,0.5720316703415937,0.0
"http://conference#has_tutorials","=","http://iasted#is_used_by","op",-0.8194123757144701,-0.9139727795735949,0.1052241567621015,-0.2158835040549617,-0.2313338546604421,-0.6348771901211051,0.5030650182472332,-0.6260441001253236,0.05823496811845197,0.5390784679467153,0.0
"http://conference#has_a_program_committee","=","http://iasted#is_present_in","op",-0.8114106250120505,-0.674250517096759,0.293451482560082,-0.17199002838697963,-0.2974314868263388,-0.7699575333481395,0.6498800600917798,-0.517375700719763,0.25043093757230794,0.5362667021331176,0.03134573669925478
"http://conference#was_a_steering_committee_of","=","http://iasted#is_connected_with","op",-0.8274232256902114,-0.9034874939957942,0.008633009652417423,-0.26774312526813326,-0.3253751155454454,-0.640471680370993,0.4456662469140136,-0.5117782750061644,0.022563154274915842,0.5907345005188482,0.0
"http://conference#has_been_assigned_a_review_reference","=","http://iasted#is_given_by","op",-0.787162969565297,-0.764047896553099,0.23828013538818005,-0.3092102530934667,-0.18108120792764082,-0.7010401409412363,0.4777536243027647,-0.6480297160311983,-0.12412442004702962,0.42643825744019015,0.0
"http://conference#invites_co-reviewers","=","http://iasted#is_sent_before","op",-0.7662719052608788,-0.8910793545488516,-0.11977497134398829,-0.20121216047360801,-0.18098175566085484,-0.6371836921953303,0.2905852987596824,-0.6111800635313606,0.027625516617105772,0.6155649828911225,0.0
"http://conference#has_a_commtitee","=","http://iasted#is_paid_with","op",-0.8271320244710851,-0.9040043761723492,0.011250164004591667,-0.2396593099215405,-0.3317292669938965,-0.6268093315576962,0.5351729085362786,-0.585270905838166,0.09688755799503479,0.6562333514367527,0.0
"http://conference#is_submitted_at","=","http://iasted#is_paid_in","op",-0.5772847951776122,-0.9230595832247732,-0.5429904895676887,-0.4336151484509079,-0.3303747002251559,-0.7201585957746512,0.5841196973426275,-0.6395567158798743,-0.36177956832747105,0.4862926815915416,0.21156702251163184
"http://conference#has_workshops","=","http://iasted#is_paid_for","op",-0.798522954164655,-0.9245156198774034,0.20617289339864953,-0.20426781814705186,-0.10999961751732712,-0.6375798956113246,0.5031303435705015,-0.6727874143569555,0.006508859875367312,0.46867534532792776,0.0
"http://conference#has_been_assigned_a_review_reference","=","http://iasted#is_sent_before","op",-0.8173597615785,-0.7785208169600588,0.08989627357351448,-0.24802203726858862,0.04914142516977926,-0.7479708123659368,0.7039333643412573,-0.5990051359758829,-0.0412765057511596,0.5628910511840868,0.0
"http://conference#is_a_topis_of_conference_parts","=","http://iasted#is_designed_for","op",-0.7255154216760564,-0.8898469224478417,-0.5303431819563228,-0.14996735813572504,-0.47988533458308724,-0.7103979736924093,0.7395635884348939,-0.6039160625633324,0.1652366083097061,0.5348035214643885,0.09034807066350325
"http://conference#has_a_review_expertise","=","http://iasted#pay","op",-0.8722298618024469,-0.7254543621118814,0.19450833392315903,-0.269155984589903,-0.5169254421610764,-0.7168476502758973,0.2992848357352942,-0.5766107727489251,-0.10432772916411459,0.6378326705350101,0.0
"http://conference#has_a_submitted_contribution","=","http://iasted#is_paid_with","op",-0.8205561983845268,-0.8805152587791146,-0.008994489406274009,-0.3480803662752143,-0.03974855871302052,-0.6563262374395056,0.495042537997759,-0.5835207804031576,-0.232527763000696,0.5016397212254928,0.0
"http://conference#was_a_program_committee_of","=","http://iasted#is_present","op",-0.8025235016284585,-0.6923181553171371,0.33477799262482355,-0.30217657872657033,-0.44330385399930405,-0.724369985965659,0.3287243465341103,-0.5398930762373174,0.18632216222240383,0.5290794946248838,0.05484090630875005
"http://conference#gives_presentations","=","http://iasted#is_prepared_by","op",-0.6991926438937232,-0.9158770574546387,-0.07546289433008857,-0.13314989843989755,-0.16156016077117552,-0.6891138632924936,0.4081543355431083,-0.3844574970296456,-0.0036384533985195366,0.6841387372260892,0.0
